book_url,name,author,genres,score,pages,description,cover link
https://www.chitai-gorod.ru/catalog/book/2964835/,Очаровательное массовое самоубийство,Паасилинна А.,Классическая и современная проза,0.00,288,"Двое незадачливых самоубийц в поиске единомышленников решают подойти к организации дела с финской практичностью и размещают объявление в  газете. Вскоре желающих вступить в «клуб по интересам» набивается целый автобус, -- очень кстати, ведь столько всего нужно продумать и спланировать. Главное в бурном процессе подготовки массового самоубийства не начать случайно наслаждаться жизнью, а то так и передумать недолго.",https://img-gorod.ru/29/209/2920975_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2965014/,Быть мужчиной. Рассказы,Николь Краусс,Классическая и современная проза,3.00,256,"Новая книга одной из лучших современных англоязычных писательниц Николь Краусс (""Хроники любви"", ""В сумрачном лесу"") - сборник рассказов, который по мере чтения превращается в единое произведение. Его герои - мужчины и женщины, юные и пожилые, родители и дети - люди, которых читатель застает в поворотные моменты их жизни, которых они ждали долгие годы, порой не осознавая этого. А все самое важное происходит во взглядах, мимолетных жестах или едва уловимых интонациях. Тексты перекликаются, протягивают друг другу тонкие линии связей, сплетая отдельные истории в единое повествование: об отношениях, их зарождении и распаде, о памяти, еврействе, власти, любви, о тяжести прошлого и поисках нового опыта.",https://img-gorod.ru/29/602/2960231_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2939142/,KGBT+,Пелевин В.,Классическая и современная проза,3.43,560,"""Вбойщик KGBT+ (автор классических стримов «Катастрофа», «Летитбизм» и других) известен всей планете как титан перформанса и духа. Если вы не слышали его имени, значит, эпоха green power для вас еще не наступила и завоевавшее планету искусство B2B (brain-to-brain streaming) каким-то чудом обошло вас стороной.",https://img-gorod.ru/29/303/2930339_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1222365/,"Большая книга кондитера: Торты, пирожные, десерты. Учимся готовить шедевры",Мелани Дюпюи,Досуг. Увлечения,3.80,288,"Восхитительная коллекция рецептов самых изысканных кондитерских шедевров с подробными пошаговыми инструкциями и фотографиями. «Шварцвальд» и «Джандуйя», меренги и эклеры, мильфёй и «Релижьёз», чизкейки и тирамису… Тающие во рту сладкие вкусности от французских и мировых кондитеров! Автор книги Мелани Дюпюи работала кондитером в ведущих парижских ресторанах, а теперь преподает в кулинарной школе Atelier des Sens, ее страсть — делиться секретами мастерства, а научный редактор книги — основатель Cuisine Innovation, инженер пищевой промышленности и специалист по молекулярной гастрономии Анн Казор. Наглядная инфографика и иллюстрированный глоссарий помогут овладеть основными кондитерскими приемами и техниками, разобраться в продуктах, кухонной утвари и инвентаре.",https://img-gorod.ru/27/669/2766945_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1216955/,Тим Бертон. Культовый режиссер и его работы (дополненное издание),Айан Натан,Искусство,4.50,192,"Фильмы, снятые Бёртоном, — это, пожалуйста, самые автобиографичные фильмы в современном кино. Тим Бёртон снимает фильмы о Тиме Бёртоне, чтобы угодить Тиму Бёртону, скрытому внутри Тима Бёртона. Вы держите в руках безумно красивую книгу. которая включает — истории со съемок всех фильмов режиссера; — множество архивных фотографий; — интервью множества актеров, ставших частью легендарных фильмов; — незабываемые сцены, образы, чувства. Все это — попытка понять великого режиссера, возможность проанализировать его творчество и выявить наконец значение слова ""бёртоновский"". Окунитесь в мир героев Тима Бёртона — ""ненормальных индивидуалистов"". Загляните в них, заглянув в самого режисеера! В дополненном издании вы найдете еще больше информации о новых фильмах режиссера!",https://img-gorod.ru/27/618/2761813_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1235694/,Искусство войны. Специальное издание с древнекитайским переплетом,Сунь-цзы,Деловая книга,4.14,160,"Живший за полтора века до Александра Македонского крупнейший военачальник и военный теоретик древнего Китая Сунь Цзы (VI-V вв. до н. э.) известен не только своими славными победами над врагами, но и тем, что оставил потомкам бессмертную книгу. Его знаменитый трактат о военной стратегии ""Искусство войны"" вот уже две с половиной тысячи лет читают все те, кто интересуется китайскими древностями, воинским искусством, политической историей, развитием человеческой мысли. А главное: бизнес-потенциал ""Искусства войны"" намного превосходит историко-культурный. Наиболее востребованной эта книга будет у тех современных руководителей, кому надо решать задачи управления, разрешать конфликты и вообще изобретать непростые рецепты выживания в мире современного бизнеса.",https://img-gorod.ru/27/809/2780997_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1268350/,Волшебник Изумрудного города. Все шесть книг — в одной!,А. Волков,Родителям и детям,4.11,990,"В книгу Александра Мелентьевича Волкова ""Волшебник Изумрудного города. Все шесть книг - в одной!"" вошли все сказочные истории о Волшебной стране: ""Волшебник Изумрудного города"", ""Урфин Джюс и его деревянные солдаты"", ""Семь подземных королей"", ""Огненный бог Марранов"", ""Желтый туман"" и ""Тайна заброшенного замка"". Жители Волшебной страны, маленькие человечки, - мирные, безобидные и совсем не умеют воевать. Это такое искушение для злых фей и честолюбивых завоевателей! Дружба, смекалка и доброта помогут добрым правителям Страшиле Мудрому, Железному Дровосеку и Смелому Льву справиться со всеми захватчиками. На помощь им придут отважные люди из обычного мира: девочка Элли, Фред, Чарли Блек, Энни и Тим. Ведь дружба превыше всего!",https://img-gorod.ru/28/162/2816248_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1276194/,Patisserie. Кондитерские технологии и рецепты ведущей кулинарной школы,Ферранди,Досуг. Увлечения,3.57,656,"Во Франции кондитерское ремесло достигло высочайшего уровня, снискав заслуженную славу по всему миру. В парижской школе ФЕРРАНДИ его преподают вот уже 100 лет. Эта книга, посвященная кондитерскому ремеслу, построена по тому же новаторскому принципу, что и «Большое пособие для поваров ФЕРРАНДИ», имевшее огромный успех. Она составлена на основе программы бакалавриата ФЕРРАНДИ Париж, где сложность рецептов постепенно возрастает. Так, уровень 1 соответствует базовому классическому рецепту. Уровень 2 – более сложный, пересмотренный рецепт. Уровень 3 – авторский рецепт от одного из знаменитых шеф-кондитеров: Яна Куврёра, Кристофа Фельдера, Седрика Гроле, Пьера Эрме, Яна Менги, Кристофа Мишалака, Гонтрана Шерье и многих других. Тематические введения к разделам книги – это ваши ключи к успеху: они обучают основам кондитерского ремесла, рассказывают об важнейших ингредиентах и о происхождении классических кондитерских изделий, а также предостерегают от наиболее частых ошибок. Кроме того, в начале каждого раздела вы найдете пошаговые базовые рецепты, для наглядности снабженные фотографиями основных этапов приготовления. Учитесь по уникальной программе школы ФЕРРАНДИ, не выходя из дома!",https://img-gorod.ru/28/229/2822903_detail.jpg
https://www.chitai-gorod.ru/catalog/book/309452/,"Казан, мангал и другие мужские удовольствия",Сталик Ханкишиев,Досуг. Увлечения,3.36,360,"Stalic явился к нам из всемирной Сети. Вот уже больше пяти лет, как он - что называется, ""гуру"" русского гастрономического интернета, звезда и легенда самых популярных кулинарных сайтов и форумов. На самом деле за псевдонимом Stalic скрывается живой человек: его зовут Сталик Ханкишиев, и живет он в Узбекистане, причем даже не в столичном Ташкенте, а в уютной, патриархальной Фергане. И никогда не скажешь, что в этом человеке - столько страсти, столько веселого, бурлящего жизнелюбия. Сталик - совершеннейший самоучка, блистательный дилетант, но он действительно потрясающе готовит, замечательно об этой своей готовке пишет и совершенно умопомрачительно фотографирует то, что получается.",https://img-gorod.ru/22/284/2228476_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2900819/,"Wes Anderson / Уэс Андерсон. Аутентичные миры гениального режиссера. От ""Бутылочной ракеты"" до ""Французского вестника""",Айан Натан,Искусство,4.04,176,"Фильмы Уэса Андерсона, со своими декорациями, операторской работой, стоп-кадрами, картами и моделями, с готовностью и даже нетерпением уступают ""миниатюрному"" качеству миров, которые он создает. И все же эти миры охватывают континенты и десятилетия. В каждом из фильмов режиссера есть преступления, прелюбодеяния, жестокость, убийства, смерти родителей и детей, моменты искренней радости и трансцендентности. И именно этот удивительный баланс между комедией и трагедией так любят поклонники Уэса Андерсона.",https://img-gorod.ru/28/938/2893870_detail.jpg
